category_url,guid,code,name,description,price,bonus,imageUrl,rating,manufacturerCountry,monthWarranty,brand,product_url,image_0,image_1,image_2,image_3,image_4,Заводские данные.Гарантия продавца / производителя,Заводские данные.Страна-производитель,Заводские данные.Тип,Заводские данные.Модель,Заводские данные.Основной цвет,Заводские данные.Рисунок на корпусе,Заводские данные.Объем,Заводские данные.Мощность,Заводские данные.Материал корпуса
https://www.dns-shop.ru/catalog/17a8c8d116404e77/elektrochajniki/?order=6&stock=now,38b8ab7d-4389-11ec-a272-00155d42eb3c,5347643,Электрочайник,"На вашей кухне отсутствует надежный помощник, который бы справился с быстрым подогревом воды? Тогда вам просто необходим электрочайник Centek CT-0007 с поразительной мощностью – 1900 Вт. Таким образом, он мгновенно выполнит поставленные задачи, а после выключится в автоматическом режиме без непосредственного участия пользователя. 
Для удобного наполнения 1.5-литрового резервуара электрочайника Centek CT-0007 достаточным объемом жидкости необходимо всего-навсего снять верхнюю крышку. Вам не придется то и дело подогревать воду, ведь двойные стенки корпуса воспрепятствуют ее быстрому остыванию. Ведущим элементом представленной модели является нагревательный элемент скрытого типа, который значительно облегчает очистку основной емкости от накопившихся загрязнений. При недостаточном количестве жидкости сработает защитная технология, которая ограничит возможность включения устройства, тем самым предупредив риск внезапной поломки.",1299,0,https://c.dns-shop.ru/thumb/st4/fit/320/250/b350f60d914a0401f1423e898805ba67/c84ebe0881107a827fed64e3b985aad5d69969761c3fcfeecc58d1a91a1f18a7.jpg,4.72,Китай,12,Centek,https://www.dns-shop.ru/product/38b8ab7d43892eb3/elektrocajnik-centek-ct-0007-cernyj/,https://c.dns-shop.ru/thumb/st4/fit/wm/0/0/8edd3b8817aed03bed0ec13944c5dc51/c84ebe0881107a827fed64e3b985aad5d69969761c3fcfeecc58d1a91a1f18a7.jpg,https://c.dns-shop.ru/thumb/st1/fit/wm/0/0/2067b332a3a6941ecf7c58faadb636e9/ce2b04c36808ddbbaadfd6c02cb6c94fd2ce9f4bd61fddf4d31d4b1e0f186ab1.jpg,https://c.dns-shop.ru/thumb/st1/fit/wm/0/0/43eeeac6a3b2960e49d4952a8ab502a2/71a77443f687c5d9cd95b8a19c346f5a10fd3ce47b1a056f5a1a0df9d45993c6.jpg,https://c.dns-shop.ru/thumb/st4/fit/wm/0/0/8cdae5b7fdf98daa96628e205c279e53/05b972d43aa5545e7f9e050383162463ddf7a3cf494b9fe381016d03d942dc72.jpg,https://c.dns-shop.ru/thumb/st1/fit/wm/0/0/8c35711749476552e7c2a16f9ab970a8/79b33d9e73d99d1ff21ca021ff024292e4da6943f57ba05777f27aa2978b76d3.jpg,12 мес.,Китай,электрочайник,Centek CT-0007,черный,нет,1.5 л,1900 Вт,металл\пластик
https://www.dns-shop.ru/catalog/17a8c8d116404e77/elektrochajniki/?order=6&stock=now,98a9592a-fcb6-11e6-981f-00155d03330d,1104170,Электрочайник,"Электрочайник Redmond RK-G178 – незаменимый бытовой прибор, когда требуется быстрый нагрев воды, безопасность эксплуатации и автоматическое отключение при нагреве. Чайник обладает мощностью в 2200 Вт, так что вам не придется долго ждать результата. Объема в 1.7 л достаточно, чтобы вскипятить воду для нескольких порций чая или кофе. Корпус устройства выполнен из термостойкого стекла, так что чайник экологически безопасен, выглядит эстетично, в том числе благодаря серебристо-черным цветам исполнения и подсветке, так что отлично впишется в интерьер любой кухни. 
Дисковый нагреватель – залог быстрого нагрева воды и бесшумной работы, а также вращения на подставке вокруг своей оси, что весьма удобно. Фильтр в носике защитит от попадания в воду посторонних частиц. Долгой безопасной эксплуатации Redmond RK-G178 способствуют блокировка включения без воды и автоотключение при закипании, а также защита от перегрева. Шкала уровня воды позволит контролировать наполненность прибора.",2999,0,https://c.dns-shop.ru/thumb/st1/fit/320/250/860e120ce2d416a8f9d86f1e78981521/48b1d95497bc3ccee055d31d46e4e1df25fe35472291985cf8a6726e2af2b21d.jpg,4.55,Китай,12,Redmond,https://www.dns-shop.ru/product/98a9592afcb63330/elektrocajnik-redmond-rk-g178-cernyj/,https://c.dns-shop.ru/thumb/st1/fit/wm/0/0/fcc25a15518f617b4ac215c15ec7dc13/48b1d95497bc3ccee055d31d46e4e1df25fe35472291985cf8a6726e2af2b21d.jpg,https://c.dns-shop.ru/thumb/st4/fit/0/0/498f8bef95ce7254c5ed2ea30377ffd3/dded717a9a986023fcf088984dbb988bb2c0477fb09956868662d13adc2e310b.png,https://c.dns-shop.ru/thumb/st1/fit/wm/0/0/b535853301175ad854e678a5540029d7/b592315223b4c2c54190b7d49810e04f13fdfc31dd28cfd9a89465b2b06a519b.jpg,https://c.dns-shop.ru/thumb/st1/fit/wm/0/0/b2a63596d099d3e0658004cc06b13cf5/e594f233d9f0a426df6e17c2cd09cb9dc3ef44973a9f291a14c33b1da7aa77ab.jpg,https://c.dns-shop.ru/thumb/st1/fit/wm/0/0/1e468d569479941121c8520414b51bc2/fd620c1c9f56ca8ab11410156d2812c8da8f1a36c5466a9f664df6d44683f58d.jpg,12 мес.,Китай,электрочайник,Redmond RK-G178,черный,нет,1.7 л,2200 Вт,стекло\пластик
https://www.dns-shop.ru/catalog/17a8c8d116404e77/elektrochajniki/?order=6&stock=now,140b9ab5-dd05-11ea-a211-00155d03332b,1696857,Электрочайник,"Электрочайник Polaris PWK 1077CGL − устройство небольшого размера с внутренним объемом 1 л. Обладая мощностью 1950 Вт, чайник способен за считанные минуты довести воду до состояния кипения. Колба для воды изготовлена из термостойкого стекла и подсвечивается голубым, когда прибор включен. Ручка, крышка и основание устройства выполнены из прочного пластика. Особенность модели в особой конструкции крышки с отверстием, которая обеспечивает легкость залива воды без необходимости открывания. 
Polaris PWK 1077CGL предусматривает закрытый элемент нагрева, а также стальное дно, что обеспечивает легкость очистки. Внутри электрочайника установлен контроллер Strix английского производства, который рассчитан на 15000 циклов кипячения. Фильтр, используемый в носике, изготовлен из нержавеющей стали. Он не позволяет частицам накипи попадать в чашку. Фильтр можно снять для очистки, чтобы он продолжал выполнять свою функцию и не менял вкус и запах напитка.",1799,0,https://c.dns-shop.ru/thumb/st4/fit/320/250/0366decf284071973eca02ed561d0e29/919aa0b823fbcfc4bdf420280322d1b44bf518bda12edbc68edb850b9c3d86a5.jpg,4.82,Китай,36,Polaris,https://www.dns-shop.ru/product/140b9ab5dd053332/elektrocajnik-polaris-pwk-1077cgl-cernyj/,https://c.dns-shop.ru/thumb/st4/fit/wm/0/0/7a417ace93357542597188abec90a678/919aa0b823fbcfc4bdf420280322d1b44bf518bda12edbc68edb850b9c3d86a5.jpg,https://c.dns-shop.ru/thumb/st4/fit/0/0/6d90798a4ecf06c7d7a70b94c32fea86/4ca1564d786afe400c3b6d06d92f1db4e03f6c0246a3aa417ba56510c45f4dfa.jpg,https://c.dns-shop.ru/thumb/st1/fit/wm/0/0/fda13160ee3ebce67680d79a069c0d9f/e16f7fd4a7f89e69ff6bcc89e0e805754546d7ca16db43606f61e92f95cd98b1.jpg,https://c.dns-shop.ru/thumb/st4/fit/wm/0/0/38861d7356170bf3dcede37c5871e6a7/30849ac10696998f6201ca7b2a980371eba2654ed2c55851df73d7c06068a399.jpg,https://c.dns-shop.ru/thumb/st1/fit/wm/0/0/ddc807d2ff42646728a651aa0e799333/a1d442cbfa1e51774fd0c65aea7452f5ebca8eea0f9202368c5a56cde43c4d34.jpg,36 мес.,Китай,электрочайник,Polaris PWK 1077CGL,черный,нет,1 л,1950 Вт,стекло\пластик
